iter	Passed	Remaining
637	2934	1664
638	2938	1660
639	2943	1655
640	2947	1650
641	2951	1646
642	2956	1641
643	2960	1636
644	2964	1631
645	2969	1627
646	2973	1622
647	2978	1617
648	2983	1613
649	2987	1608
650	2992	1604
651	2996	1599
652	3001	1594
653	3005	1590
654	3010	1585
655	3015	1581
656	3020	1576
657	3025	1572
658	3030	1567
659	3034	1563
660	3039	1558
661	3044	1554
662	3049	1550
663	3054	1545
664	3058	1540
665	3062	1535
666	3067	1531
667	3071	1526
668	3075	1521
669	3079	1516
670	3084	1512
671	3088	1507
672	3092	1502
673	3096	1497
674	3101	1493
675	3105	1488
676	3110	1483
677	3114	1479
678	3119	1474
679	3123	1469
680	3127	1465
681	3132	1460
682	3136	1455
683	3140	1450
684	3144	1446
685	3148	1441
686	3153	1436
687	3157	1431
688	3161	1427
689	3166	1422
690	3170	1417
691	3175	1413
692	3179	1408
693	3183	1403
694	3187	1398
695	3191	1394
696	3196	1389
697	3200	1384
698	3204	1380
699	3209	1375
700	3213	1370
701	3217	1365
702	3221	1361
703	3226	1356
704	3230	1351
705	3235	1347
706	3239	1342
707	3244	1337
708	3248	1333
709	3252	1328
710	3257	1323
711	3261	1319
712	3265	1314
713	3269	1309
714	3274	1305
715	3278	1300
716	3282	1295
717	3287	1291
718	3291	1286
719	3296	1282
720	3300	1277
721	3305	1272
722	3309	1267
723	3313	1263
724	3317	1258
725	3322	1253
726	3326	1249
727	3330	1244
728	3334	1239
729	3339	1234
730	3343	1230
731	3348	1225
732	3353	1221
733	3357	1216
734	3361	1212
735	3366	1207
736	3370	1202
737	3374	1198
738	3378	1193
739	3383	1188
740	3388	1184
741	3392	1179
742	3396	1174
743	3400	1170
744	3406	1165
745	3410	1161
746	3415	1156
747	3419	1152
748	3423	1147
749	3427	1142
750	3432	1137
751	3436	1133
752	3440	1128
753	3444	1123
754	3448	1119
755	3453	1114
756	3457	1109
757	3461	1105
758	3466	1100
759	3470	1096
760	3475	1091
761	3479	1086
762	3483	1082
763	3487	1077
764	3492	1072
765	3496	1068
766	3500	1063
767	3505	1058
768	3509	1054
769	3514	1049
770	3518	1045
771	3523	1040
772	3527	1035
773	3532	1031
774	3536	1026
775	3541	1022
776	3545	1017
777	3549	1012
778	3554	1008
779	3558	1003
780	3562	998
781	3566	994
782	3571	989
783	3575	985
784	3579	980
785	3586	976
786	3593	972
787	3599	968
788	3605	964
789	3610	959
790	3614	954
791	3618	950
792	3622	945
793	3627	941
794	3631	936
795	3635	931
796	3639	927
797	3644	922
798	3648	917
799	3653	913
800	3658	908
801	3662	904
802	3666	899
803	3671	894
804	3675	890
805	3679	885
806	3684	881
807	3688	876
808	3695	872
809	3701	868
810	3707	864
811	3714	859
812	3722	856
813	3728	851
814	3734	847
815	3739	843
816	3745	838
817	3749	834
818	3754	829
819	3758	825
820	3763	820
821	3767	815
822	3771	811
823	3776	806
824	3780	801
825	3785	797
826	3789	792
827	3793	788
828	3797	783
829	3802	778
830	3806	774
831	3810	769
832	3815	764
833	3819	760
834	3823	755
835	3827	750
836	3831	746
837	3836	741
838	3841	737
839	3845	732
840	3849	727
841	3854	723
842	3858	718
843	3862	713
844	3866	709
845	3870	704
846	3874	699
847	3878	695
848	3883	690
849	3887	686
850	3891	681
851	3896	676
852	3901	672
853	3905	667
854	3909	663
855	3913	658
856	3918	653
857	3922	649
858	3926	644
859	3930	639
860	3934	635
861	3938	630
862	3943	625
863	3947	621
864	3951	616
865	3956	612
866	3961	607
867	3965	603
868	3970	598
869	3974	593
870	3978	589
871	3982	584
872	3986	579
873	3990	575
874	3995	570
875	4000	566
876	4004	561
877	4009	557
878	4013	552
879	4017	547
880	4022	543
881	4026	538
882	4031	534
883	4035	529
884	4039	524
885	4044	520
886	4048	515
887	4052	511
888	4056	506
889	4061	501
890	4065	497
891	4069	492
892	4073	488
893	4077	483
894	4082	478
895	4086	474
896	4091	469
897	4095	465
898	4099	460
899	4104	456
900	4108	451
901	4112	446
902	4117	442
903	4121	437
904	4125	433
905	4129	428
906	4133	423
907	4137	419
908	4142	414
909	4146	410
910	4150	405
911	4155	400
912	4159	396
913	4163	391
914	4168	387
915	4172	382
916	4176	378
917	4180	373
918	4184	368
919	4188	364
920	4193	359
921	4197	355
922	4201	350
923	4205	345
924	4210	341
925	4215	336
926	4219	332
927	4224	327
928	4228	323
929	4232	318
930	4236	314
931	4241	309
932	4245	304
933	4249	300
934	4253	295
935	4258	291
936	4262	286
937	4266	282
938	4271	277
939	4275	272
940	4280	268
941	4284	263
942	4289	259
943	4293	254
944	4297	250
945	4302	245
946	4306	241
947	4310	236
948	4315	231
949	4319	227
950	4324	222
951	4328	218
952	4333	213
953	4337	209
954	4341	204
955	4350	200
956	4356	195
957	4362	191
958	4368	186
959	4375	182
960	4380	177
961	4388	173
962	4393	168
963	4398	164
964	4402	159
965	4407	155
966	4411	150
967	4416	145
968	4420	141
969	4425	136
970	4429	132
971	4433	127
972	4437	123
973	4442	118
974	4447	114
975	4451	109
976	4456	104
977	4460	100
978	4464	95
979	4469	91
980	4473	86
981	4477	82
982	4481	77
983	4486	72
984	4490	68
985	4494	63
986	4498	59
987	4503	54
988	4508	50
989	4512	45
990	4517	41
991	4521	36
992	4526	31
993	4530	27
994	4534	22
995	4538	18
996	4543	13
997	4547	9
998	4552	4
999	4556	0
